"","resi_half","area","linear"
"1","lower-PNW01",0.178277257486415,0.0989247311827957
"2","upper-PNW01",0.248656976968481,0.238709677419355
"3","lower-PNW02",0.151845011986447,0.0826815642458101
"4","upper-PNW02",0.232876040070415,0.209497206703911
"5","lower-PNW03",0.17056982797646,0.0941489361702128
"6","upper-PNW03",0.19990650887574,0.218617021276596
"7","lower-PNW05",0.122969075385256,0.0658163265306122
"8","upper-PNW05",0.306319580078125,0.250510204081633
"9","lower-PNW06",0.161144270992756,0.0883838383838384
"10","upper-PNW06",0.238223616549978,0.221717171717172
"11","lower-PNW07",0.186230245746692,0.103913043478261
"12","upper-PNW07",0.12600873834512,0.162608695652174
"13","lower-PNW08",0.259692340733979,0.153367875647668
"14","upper-PNW08",0.358437814779769,0.317616580310881
"15","lower-PNW10",0.134613754918193,0.0725738396624473
"16","upper-PNW10",0.0449632877845178,0.10337552742616
"17","lower-PNW101",0.196275890215284,0.114141414141414
"18","upper-PNW101",0.221078222978,0.260606060606061
"19","lower-PNW102",0.323729168089611,0.234020618556701
"20","upper-PNW102",0.306844297299439,0.272164948453608
"21","lower-PNW103",0.0370238519045924,0.0188679245283019
"22","upper-PNW103",0.412104053289855,0.316037735849057
"23","lower-PNW104",0.203836567673135,0.155905511811024
"24","upper-PNW104",0.002471923828125,0.0283464566929134
"25","lower-PNW105",0.299444444444444,0.183333333333333
"26","upper-PNW105",0.311224708129578,0.303030303030303
"27","lower-PNW106",0.440733673469388,0.327857142857143
"28","upper-PNW106",0.248390018613077,0.257142857142857
"29","lower-PNW109",0.318229740698022,0.262745098039216
"30","upper-PNW109",0.277920219619421,0.191503267973856
"31","lower-PNW110",0.36706171875,0.355625
"32","upper-PNW110",0.141072082261087,0.165
"33","lower-PNW111",0.232952810410981,0.134591194968553
"34","upper-PNW111",0.132536025879816,0.19622641509434
"35","lower-PNW112",0.260928524722096,0.175886524822695
"36","upper-PNW112",0,0
"37","lower-PNW113",0.223269909529798,0.128025477707006
"38","upper-PNW113",0.00577867014470333,0.0337579617834395
"39","lower-PNW114",0.25024026230991,0.146616541353383
"40","upper-PNW114",0.122352600097656,0.118796992481203
"41","lower-PNW115",0.278786730945822,0.167424242424242
"42","upper-PNW115",0.0950115806635267,0.0462121212121212
"43","lower-PNW119",0.411869407827334,0.290082644628099
"44","upper-PNW119",0.110089405168935,0.0446280991735537
"45","lower-PNW12",0.231708042217928,0.149769585253456
"46","upper-PNW12",0.0964034145514161,0.134562211981567
"47","lower-PNW121",0.365971644120708,0.241129032258065
"48","upper-PNW121",0.091755638266336,0.0403225806451613
"49","lower-PNW122",0.359957396449704,0.235384615384615
"50","upper-PNW122",0,0
"51","lower-PNW123",0.258271403091558,0.266379310344828
"52","upper-PNW123",0.136401982144755,0.0681034482758621
"53","lower-PNW124",0.377369614512472,0.252380952380952
"54","upper-PNW124",0.0818394407921435,0.027891156462585
"55","lower-PNW125",0.386057861367148,0.261313868613139
"56","upper-PNW125",0.0557456390797399,0.0226277372262774
"57","lower-PNW126",0.3757451548229,0.250746268656716
"58","upper-PNW126",0.0794297577854672,0.0940298507462687
"59","lower-PNW127",0.445798251596503,0.363779527559055
"60","upper-PNW127",0.13139567553996,0.152755905511811
"61","lower-PNW128",0.301326710463067,0.213924050632911
"62","upper-PNW128",0.348533730865076,0.224050632911392
"63","lower-PNW129",0.310497959183674,0.268571428571429
"64","upper-PNW129",0.0624081178959446,0.0842857142857143
"65","lower-PNW131",0.35290112,0.2288
"66","upper-PNW131",0.265207078430761,0.2472
"67","lower-PNW132",0.0936871887732005,0.0670212765957447
"68","upper-PNW132",0.243259330555591,0.208510638297872
"69","lower-PNW133",0.250194051155434,0.146583850931677
"70","upper-PNW133",0.0644515709600419,0.101242236024845
"71","lower-PNW14",0.486631665449233,0.418243243243243
"72","upper-PNW14",0.0229860915922548,0.0824324324324324
"73","lower-PNW15",0.335791420118343,0.213461538461538
"74","upper-PNW15",0.0182895876257876,0.0673076923076923
"75","lower-PNW16",0.199427217742236,0.11219512195122
"76","upper-PNW16",0.0629149619031286,0.0414634146341463
"77","lower-PNW17",0.263792898234477,0.156338028169014
"78","upper-PNW17",0.0306200702655862,0.0140845070422535
"79","lower-PNW18",0.160477519132653,0.10625
"80","upper-PNW18",0.0375466489916819,0.0852678571428571
"81","lower-PNW27",0.173600158411921,0.0960199004975124
"82","upper-PNW27",0.161699123745878,0.184577114427861
"83","lower-PNW30",0.26685306122449,0.158571428571429
"84","upper-PNW30",0.0957295512499955,0.04
"85","lower-PNW31",0.246112889785536,0.143708609271523
"86","upper-PNW31",0.00207754130801637,0.0245033112582781
"87","lower-PNW32",0.258670360110803,0.152631578947368
"88","upper-PNW32",0.0200735969939446,0.0717105263157895
"89","lower-PNW33",0.21621363242877,0.123312883435583
"90","upper-PNW33",0.00735304355090221,0.0398773006134969
"91","lower-PNW39",0.215385469387755,0.167428571428571
"92","upper-PNW39",0,0
"93","lower-PNW40",0.254185370470525,0.149418604651163
"94","upper-PNW40",0.113061763411414,0.158139534883721
"95","lower-PNW41",0.227403326122228,0.130813953488372
"96","upper-PNW41",0.150972349760229,0.158139534883721
"97","lower-PNW42",0.192322401815855,0.181521739130435
"98","upper-PNW42",0.180180732989308,0.160326086956522
"99","lower-PNW43",0.15447203844839,0.103587443946188
"100","upper-PNW43",0.13503627007254,0.147982062780269
"101","lower-PNW44",0.179415661627314,0.110837438423645
"102","upper-PNW44",0.116706735293011,0.155172413793103
"103","lower-PNW45",0.155917882016064,0.0852216748768473
"104","upper-PNW45",0.132468190920718,0.16551724137931
"105","lower-PNW50",0.253289708506841,0.148780487804878
"106","upper-PNW50",0.41342572568243,0.301626016260163
"107","lower-PNW51",0.230923555555556,0.146
"108","upper-PNW51",0.0967725448487518,0.188
"109","lower-PNW52",0.400956159492164,0.277464788732394
"110","upper-PNW52",0.0882403581267217,0.0316901408450704
"111","lower-PNW53",0.278641498361778,0.17972027972028
"112","upper-PNW53",0.1489245086744,0.184615384615385
"113","lower-PNW61",0.237557267805081,0.137755102040816
"114","upper-PNW61",0.083893688000022,0.126020408163265
"115","lower-PNW62",0.260157750342936,0.153703703703704
"116","upper-PNW62",0.0708237291661124,0.112037037037037
"117","lower-PNW63",0.287334593572779,0.173913043478261
"118","upper-PNW63",0.219689795918367,0.201739130434783
"119","lower-PNW64",0.431662075298439,0.315151515151515
"120","upper-PNW64",0.102297163261258,0.0444444444444444
"121","lower-PNW66",0.496629362880886,0.458947368421053
"122","upper-PNW66",0,0
"123","lower-PNW72",0.191132751823783,0.106896551724138
"124","upper-PNW72",0.121815417488494,0.132758620689655
"125","lower-PNW73",0.309729940211146,0.305291005291005
"126","upper-PNW73",0.00460562259774368,0.0328042328042328
"127","lower-PNW76",0.18483766787561,0.106349206349206
"128","upper-PNW76",0.158037248745221,0.14973544973545
"129","lower-PNW77",0.2112,0.12
"130","upper-PNW77",0.289748229895969,0.270857142857143
"131","lower-PNW78",0.191129578331794,0.107017543859649
"132","upper-PNW78",0.27758554402153,0.222222222222222
"133","lower-PNW79",0.236644555200975,0.137125748502994
"134","upper-PNW79",0.251569972828357,0.232335329341317
"135","lower-PNW83",0.269080528846154,0.165865384615385
"136","upper-PNW83",0.17693187437551,0.200480769230769
"137","lower-PNW84",0.191168418964491,0.107042253521127
"138","upper-PNW84",0.0812439670013633,0.0971830985915493
"139","lower-PNW85",0.334980737192836,0.212755102040816
"140","upper-PNW85",0.228018339158239,0.226020408163265
"141","lower-PNW86",0.293507176170476,0.178680203045685
"142","upper-PNW86",0.230299208125898,0.230456852791878
"143","lower-PNW92",0.154811928552139,0.233540372670807
"144","upper-PNW92",0.139428584263606,0.0807453416149068
"145","lower-PNW93",0.214082617796574,0.268627450980392
"146","upper-PNW93",0.108123672749523,0.0836601307189542
"147","lower-PNW96",0.325740700692042,0.231617647058824
"148","upper-PNW96",0.175414201183432,0.169852941176471
"149","lower-STCK01",0.263477406277513,0.156030150753769
"150","upper-STCK01",0.0894488340192044,0.143467336683417
"151","lower-STCK10",0.334167513427203,0.212048192771084
"152","upper-STCK10",0.458896626070742,0.302409638554217
"153","lower-STCK101",0.178092403628118,0.0988095238095238
"154","upper-STCK101",0.0866209611249434,0.124206349206349
"155","lower-STCK103",0.10259120942258,0.0542372881355932
"156","upper-STCK103",0,0
"157","lower-STCK105",0.4921875,0.4375
"158","upper-STCK105",0.130477105635882,0.140833333333333
"159","lower-STCK106",0.105260355029586,0.0776923076923077
"160","upper-STCK106",0.0395367977058498,0.03
"161","lower-STCK108",0.410347799322869,0.3
"162","upper-STCK108",0.132147444095168,0.181286549707602
"163","lower-STCK109",0.478671451151267,0.396732026143791
"164","upper-STCK109",0.223494027953211,0.126797385620915
"165","lower-STCK11",0.359044784580499,0.23452380952381
"166","upper-STCK11",0,0
"167","lower-STCK110",0.210546712802768,0.134117647058824
"168","upper-STCK110",0.0724170960496763,0.0264705882352941
"169","lower-STCK111",0.181907596346625,0.101194029850746
"170","upper-STCK111",0.0907336007417918,0.147761194029851
"171","lower-STCK112",0.27157715198142,0.162048192771084
"172","upper-STCK112",0.0221802803665126,0.0716867469879518
"173","lower-STCK113",0.165165277777778,0.0908333333333333
"174","upper-STCK113",0.0385463376672168,0.105277777777778
"175","lower-STCK116",0.250377404431458,0.309009009009009
"176","upper-STCK116",0.101551414246524,0.101801801801802
"177","lower-STCK117",0.132401840894149,0.0712820512820513
"178","upper-STCK117",0.0766657499373298,0.128717948717949
"179","lower-STCK118",0.282621000972611,0.180108991825613
"180","upper-STCK118",0.0224732887722767,0.0760217983651226
"181","lower-STCK12",0.230080886426593,0.132631578947368
"182","upper-STCK12",0.150880404343966,0.0557894736842105
"183","lower-STCK13",0.277411300147028,0.224927536231884
"184","upper-STCK13",0,0
"185","lower-STCK14",0.349498500485392,0.338138138138138
"186","upper-STCK14",0,0
"187","lower-STCK15",0.313659416572621,0.23187134502924
"188","upper-STCK15",0.0949234693877551,0.142690058479532
"189","lower-STCK16",0.419632606682939,0.29954128440367
"190","upper-STCK16",0.0374355173214139,0.0137614678899083
"191","lower-STCK17",0.337169777777778,0.214666666666667
"192","upper-STCK17",0.172875774793388,0.064
"193","lower-STCK18",0.437769713938367,0.323605150214592
"194","upper-STCK18",0.121298079648034,0.0690987124463519
"195","lower-STCK19",0.477129205787029,0.393063583815029
"196","upper-STCK19",0.193071726013427,0.101156069364162
"197","lower-STCK20",0.477923409709982,0.394936708860759
"198","upper-STCK20",0.027174448859569,0.019620253164557
"199","lower-STCK21",0.451071663379356,0.343589743589744
"200","upper-STCK21",0.267347393401558,0.158974358974359
"201","lower-STCK28",0.050626576015832,0.0259887005649717
"202","upper-STCK28",0.0555555555555556,0.111864406779661
"203","lower-STCK29",0.256050515487073,0.184615384615385
"204","upper-STCK29",0.0687586805555556,0.157988165680473
"205","lower-STCK30",0.471895092320512,0.381456953642384
"206","upper-STCK30",0.278096423721141,0.111920529801324
"207","lower-STCK32",0.28110769468139,0.325586854460094
"208","upper-STCK32",0.149357357899194,0.155399061032864
"209","lower-STCK39",0.226629706788795,0.130290456431535
"210","upper-STCK39",0.234441168859901,0.300414937759336
"211","lower-STCK40",0.171163453150314,0.0945147679324894
"212","upper-STCK40",0.160373982988166,0.248523206751055
"213","lower-STCK42",0.40082261659808,0.277314814814815
"214","upper-STCK42",0.0376694411414982,0.0231481481481481
"215","lower-STCK43",0.464619379261812,0.366995073891626
"216","upper-STCK43",0.0383563432882678,0.0226600985221675
"217","lower-STCK44",0.422594867674519,0.362433862433862
"218","upper-STCK44",0.21835951762749,0.0978835978835979
"219","lower-STCK45",0.422482508254532,0.368639053254438
"220","upper-STCK45",0.136307498424701,0.113609467455621
"221","lower-STCK46",0.362488970965425,0.331578947368421
"222","upper-STCK46",0.230113413785817,0.171929824561404
"223","lower-STCK47",0.430519448480031,0.313612565445026
"224","upper-STCK47",0.0528084381125997,0.0350785340314136
"225","lower-STCK50",0.275910932625766,0.165269461077844
"226","upper-STCK50",0,0
"227","lower-STCK52",0.344706476454993,0.221348314606742
"228","upper-STCK52",0.0434663166570007,0.0202247191011236
"229","lower-STCK55",0.295768493827161,0.180444444444444
"230","upper-STCK55",0.0570694169885615,0.0204444444444444
"231","lower-STCK56",0.233456861342057,0.134803921568627
"232","upper-STCK56",0,0
"233","lower-STCK57",0.293507176170476,0.178680203045685
"234","upper-STCK57",0,0
"235","lower-STCK59",0.361311111111111,0.236666666666667
"236","upper-STCK59",0.0497507978055864,0.0246666666666667
"237","lower-STCK60",0.351900032270788,0.250898203592814
"238","upper-STCK60",0.049726,0.0281437125748503
"239","lower-STCK61",0.390544719926538,0.266060606060606
"240","upper-STCK61",0.218591778410664,0.135151515151515
"241","lower-STCK62",0.402328913275415,0.279012345679012
"242","upper-STCK62",0.256964321138096,0.12037037037037
"243","lower-STCK64",0.441850756081525,0.329487179487179
"244","upper-STCK64",0.171651640223636,0.0916666666666667
"245","lower-STCK65",0.417724613555291,0.38551724137931
"246","upper-STCK65",0.0111333773145967,0.0462068965517241
"247","lower-STCK72",0.499000038578759,0.477639751552795
"248","upper-STCK72",0,0
"249","lower-STCK73",0.422509259259259,0.411666666666667
"250","upper-STCK73",0.315022501165984,0.135555555555556
"251","lower-STCK74",0.279045804988662,0.167619047619048
"252","upper-STCK74",0.296636052837957,0.291428571428571
"253","lower-STCK75",0.066704132231405,0.0345454545454545
"254","upper-STCK75",0.128185115315124,0.0936363636363636
"255","lower-STCK76",0.172071181413742,0.113445378151261
"256","upper-STCK76",0.0698748635256572,0.0873949579831933
"257","lower-STCK77",0.0770376340752682,0.0732283464566929
"258","upper-STCK77",0.098219013052386,0.125984251968504
"259","lower-STCK78",0.434129384583071,0.350724637681159
"260","upper-STCK78",0.0291625727996355,0.0463768115942029
"261","lower-STCK79",0.0602513946755173,0.0310924369747899
"262","upper-STCK79",0.25063041414501,0.228571428571429
"263","lower-STCK80",0.272829919740362,0.178476821192053
"264","upper-STCK80",0.143986833254723,0.373509933774834
"265","lower-STCK85",0.168308917954816,0.0927586206896552
"266","upper-STCK85",0.114273187730049,0.146551724137931
"267","lower-STCK86",0.251216272189349,0.147307692307692
"268","upper-STCK86",0.0611686316928069,0.144615384615385
"269","lower-STCK88",0.0510713245148884,0.0454198473282443
"270","upper-STCK88",0.021262744072875,0.0641221374045801
"271","lower-STCK91",0.153019281663516,0.0834782608695652
"272","upper-STCK91",0,0
"273","lower-STCK92",0.170702662721894,0.0942307692307692
"274","upper-STCK92",0,0
"275","lower-STCK93",0.104018989243435,0.0550387596899225
"276","upper-STCK93",0.0813388888888889,0.0937984496124031
"277","lower-STCK94",0.0722066294451989,0.0985815602836879
"278","upper-STCK94",0,0
"279","lower-STCK95",0.0454299621416983,0.0232558139534884
"280","upper-STCK95",0.0636916226627424,0.168217054263566
"281","lower-STCK96",0.0570055429579239,0.0293650793650794
"282","upper-STCK96",0.0587295343920547,0.0944444444444444
"283","lower-STCK98",0.0534514305693142,0.0274809160305344
"284","upper-STCK98",0,0
"285","lower-STCK99",0.057938850308642,0.0298611111111111
"286","upper-STCK99",0,0
"287","lower-STCK26",0.0433521803489529,0.0260869565217391
"288","upper-STCK26",0.228526086094029,0.278260869565217
"289","lower-PNW04",0.20979250893782,0.119075144508671
"290","upper-PNW04",0.136841992455418,0.261271676300578
"291","lower-PNW09",0.185318090253267,0.115767634854772
"292","upper-PNW09",0.163265306122449,0.285477178423236
"293","lower-PNW107",0.178748779296875,0.09921875
"294","upper-PNW107",0.00186250523485199,0.03046875
"295","lower-PNW130",0.364010864644636,0.265957446808511
"296","upper-PNW130",0.3307336300526,0.320212765957447
"297","lower-PNW135",0.339038841342989,0.298850574712644
"298","upper-PNW135",0.108316167257746,0.232183908045977
"299","lower-PNW21",0.220190458579882,0.125961538461538
"300","upper-PNW21",0.186299293853478,0.291346153846154
"301","lower-PNW26",0.139963265306122,0.0757142857142857
"302","upper-PNW26",0.131029052136448,0.255714285714286
"303","lower-PNW29",0.27557,0.201
"304","upper-PNW29",0.214286358430503,0.327
"305","lower-PNW35",0.155809326171875,0.08515625
"306","upper-PNW35",0.127553961540272,0.25234375
"307","lower-PNW36",0.0848509958382878,0.0443965517241379
"308","upper-PNW36",0.193496744165964,0.310775862068966
"309","lower-PNW37",0.147489595719382,0.0801724137931034
"310","upper-PNW37",0.134000257578273,0.258620689655172
"311","lower-PNW38",0.0557596021947874,0.0287037037037037
"312","upper-PNW38",0.240929927738329,0.346759259259259
"313","lower-PNW49",0.168760456615922,0.0929347826086957
"314","upper-PNW49",0.160699463981879,0.283152173913043
"315","lower-PNW54",0.0936784194826153,0.0531468531468531
"316","upper-PNW54",0.258520274568434,0.355244755244755
"317","lower-PNW55",0.116272294887039,0.0775862068965517
"318","upper-PNW55",0.29492055871568,0.376206896551724
"319","lower-PNW56",0,0
"320","upper-PNW56",0.153318552202765,0.276678445229682
"321","lower-PNW57",0.12382296091105,0.0849122807017544
"322","upper-PNW57",0.283664714445777,0.367368421052632
"323","lower-PNW59",0.328607435412728,0.241062801932367
"324","upper-PNW59",0.142549824347429,0.257004830917874
"325","lower-PNW60",0.278461012491782,0.167179487179487
"326","upper-PNW60",0.0623690279926972,0.176410256410256
"327","lower-PNW68",0.470173501242328,0.377011494252874
"328","upper-PNW68",0.0244563486164497,0.0425287356321839
"329","lower-PNW74",0.241318384623671,0.14021164021164
"330","upper-PNW74",0.0711092358517667,0.188359788359788
"331","lower-PNW80",0.1593481727724,0.0914691943127962
"332","upper-PNW80",0.266851859186473,0.364928909952607
"333","lower-PNW81",0.093391262755102,0.0491071428571429
"334","upper-PNW81",0.163046525167291,0.285267857142857
"335","lower-PNW82",0.158986995998769,0.112719298245614
"336","upper-PNW82",0.293059312228816,0.382456140350877
"337","lower-PNW87",0.243702467179719,0.142021276595745
"338","upper-PNW87",0.186249958887222,0.289893617021277
"339","lower-PNW88",0.0371993200757314,0.0189591078066914
"340","upper-PNW88",0.325259530895692,0.402973977695167
"341","lower-PNW89",0.0985154696622383,0.0519572953736655
"342","upper-PNW89",0.262347961867193,0.361921708185053
"343","lower-PNW90",0.237060736466331,0.137412587412587
"344","upper-PNW90",0.226070142568146,0.32972027972028
"345","lower-PNW91",0.17489308029002,0.0968208092485549
"346","upper-PNW91",0.233736842439774,0.333815028901734
"347","lower-PNW94",0.161239694134735,0.216339869281046
"348","upper-PNW94",0.137743791288616,0.262091503267974
"349","lower-STCK100",0.30320874928983,0.317567567567568
"350","upper-STCK100",0.237840896802211,0.283783783783784
"351","lower-STCK102",0.058567241591449,0.0301775147928994
"352","upper-STCK102",0.317070088522502,0.39792899408284
"353","lower-STCK107",0.49155,0.435
"354","upper-STCK107",0.415817352366552,0.395555555555556
"355","lower-STCK114",0.161275091307524,0.0967567567567568
"356","upper-STCK114",0.139314338564895,0.263783783783784
"357","lower-STCK119",0,0
"358","upper-STCK119",0.169122098246032,0.290633608815427
"359","lower-STCK120",0.0311081083087706,0.0158038147138965
"360","upper-STCK120",0.159066441951459,0.282016348773842
"361","lower-STCK22",0.245786395814097,0.242105263157895
"362","upper-STCK22",0.245786395814097,0.242105263157895
"363","lower-STCK23",0.492953187108582,0.440641711229947
"364","upper-STCK23",0.193258830110643,0.257219251336898
"365","lower-STCK24",0.21501290494838,0.236320754716981
"366","upper-STCK24",0.216087031345159,0.259905660377358
"367","lower-STCK25",0.199862024186349,0.112612612612613
"368","upper-STCK25",0.355859225404734,0.411261261261261
"369","lower-STCK27",0.0559954549143738,0.0288288288288288
"370","upper-STCK27",0.251160884670956,0.354054054054054
"371","lower-STCK31",0.347836301969857,0.224170616113744
"372","upper-STCK31",0.286523913599228,0.192417061611374
"373","lower-STCK41",0.103265088757396,0.0546153846153846
"374","upper-STCK41",0.264055787569167,0.363076923076923
"375","lower-STCK48",0.268952783739427,0.160112359550562
"376","upper-STCK48",0.0356722142015713,0.0252808988764045
"377","lower-STCK49",0.24465921138128,0.142690058479532
"378","upper-STCK49",0,0
"379","lower-STCK51",0.298458173473412,0.248502994011976
"380","upper-STCK51",0.0395654699262173,0.0958083832335329
"381","lower-STCK53",0.314476023602773,0.195431472081218
"382","upper-STCK53",0,0
"383","lower-STCK58",0.253104455807159,0.148648648648649
"384","upper-STCK58",0,0
"385","lower-STCK67",0.307887933202555,0.190070921985816
"386","upper-STCK67",0,0
"387","lower-STCK68",0.213137166138524,0.121276595744681
"388","upper-STCK68",0.0426002102705958,0.0271276595744681
"389","lower-STCK69",0.22353714661407,0.128205128205128
"390","upper-STCK69",0,0
"391","lower-STCK71",0.2938934642379,0.178980891719745
"392","upper-STCK71",0.0372533579758434,0.136305732484076
"393","lower-STCK81",0.0176977040816326,0.00892857142857143
"394","upper-STCK81",0.225065727821741,0.335459183673469
"395","lower-STCK82",0.307720773494583,0.256746031746032
"396","upper-STCK82",0.220520276250867,0.228174603174603
"397","lower-STCK83",0.24541456432795,0.219011406844106
"398","upper-STCK83",0.170636327201036,0.231939163498099
"399","lower-STCK84",0.408136688866009,0.381227436823105
"400","upper-STCK84",0.294137009672893,0.367870036101083
"401","lower-STCK97",0.0493831111111111,0.0253333333333333
"402","upper-STCK97",0,0
